
scanner data:
 -750   754   404 
 -189    61   -45 
 -818   745   486 
  325  -343   553 
  349 -1621  -559 
  406 -1797  -526 
 -744 -1746  -537 
  -67 -1098   -32 
  336   928   466 
 -635  -615   362 
  405  -470   568 
  645 -1471   521 
 -773   645   541 
 -163 -1204  -165 
  440  -583  -974 
  385  -361   405 
 -790  -808  -512 
  309   881   591 
 -548  -779   374 
 -963   477  -487 
  -65   111  -185 
  413   943   530 
 -674 -1585   598 
  753   808  -605 
  740   774  -615 
  726   706  -708 
  672 -1640   563 
 -724 -1719   643 
 -753 -1905  -421 
  319 -1736  -502 
 -706  -757  -430 
  352  -454  -949 
 -637 -1757  -402 
  412  -468  -827 
 -823 -1630   641 
 -630  -729  -519 
 -805   510  -451 
 -852   515  -489 
  651 -1617   447 
 -627  -769   479 

scanner data:
 -963   477  -487 
 -823 -1630   641 
  319 -1736  -502 
 -548  -779   374 
  -65   111  -185 
 -635  -615   362 
 -674 -1585   598 
 -753 -1905  -421 
  651 -1617   447 
-1926   686  -867 
 -818   745   486 
 -773   645   541 
  672 -1640   563 
-1902  -496   749 
-1983   666   700 
 -750   754   404 
-1977   655  -755 
  726   706  -708 
-1758  -295  -663 
  309   881   591 
  753   808  -605 
  740   774  -615 
 -637 -1757  -402 
  385  -361   405 
 -630  -729  -519 
 -805   510  -451 
 -189    61   -45 
  336   928   466 
  412  -468  -827 
  -67 -1098   -32 
 -724 -1719   643 
 -852   515  -489 
 -744 -1746  -537 
 -627  -769   479 
-1861   667   756 
  645 -1471   521 
-1787  -427  -533 
 -163 -1204  -165 
  352  -454  -949 
  405  -470   568 
-1293   148   -98 
  349 -1621  -559 
-2058   707   714 
  413   943   530 
  406 -1797  -526 
  325  -343   553 
 -790  -808  -512 
 -706  -757  -430 
-1756  -284  -455 
-1793  -569   728 
  440  -583  -974 
-1707  -458   793 
-1914   543  -747 

scanner data:
  336   928   466 
-2007  -433 -1630 
  645 -1471   521 
-2014  -377 -1707 
-1293   148   -98 
 -489  -484 -1682 
  -65   111  -185 
 -963   477  -487 
-1977   655  -755 
  740   774  -615 
 -724 -1719   643 
 -627  -769   479 
  413   943   530 
 -548  -779   374 
  349 -1621  -559 
 -637 -1757  -402 
 -189    61   -45 
  753   808  -605 
 -750   754   404 
  352  -454  -949 
 -790  -808  -512 
-1926   686  -867 
 -753 -1905  -421 
  726   706  -708 
-1914   543  -747 
  672 -1640   563 
 -706  -757  -430 
  385  -361   405 
-1306    56 -1209 
-1707  -458   793 
  325  -343   553 
-2013   852 -2032 
-2057  -355 -1668 
-1192   126 -1343 
 -635  -615   362 
-1787  -427  -533 
-1949   861 -2090 
  440  -583  -974 
  -67 -1098   -32 
 -497  -242 -1678 
 -509  -413 -1692 
 -818   745   486 
 -744 -1746  -537 
 -874   519 -1951 
-1758  -295  -663 
  405  -470   568 
-2058   707   714 
-1861   667   756 
 -630  -729  -519 
  651 -1617   447 
 -823 -1630   641 
  309   881   591 
-1871   874 -2097 
 -674 -1585   598 
 -805   510  -451 
  406 -1797  -526 
 -852   515  -489 
-1902  -496   749 
  412  -468  -827 
  319 -1736  -502 
 -163 -1204  -165 
-1793  -569   728 
 -987   655 -1938 
-1756  -284  -455 
 -903   601 -1893 
-1983   666   700 
 -773   645   541 

scanner data:
-1914   543  -747 
 -823 -1630   641 
-3270  -308  -670 
  -65   111  -185 
 -163 -1204  -165 
 -189    61   -45 
-3185  -364  -589 
-2014  -377 -1707 
  406 -1797  -526 
 -724 -1719   643 
 -874   519 -1951 
-1192   126 -1343 
-1756  -284  -455 
-3033  -435   447 
  726   706  -708 
  405  -470   568 
 -987   655 -1938 
 -773   645   541 
-3157   678  -834 
-3179   624  -830 
-2058   707   714 
-3020  -477   656 
-1977   655  -755 
-1902  -496   749 
-3303   776   776 
-2013   852 -2032 
 -744 -1746  -537 
  753   808  -605 
-1949   861 -2090 
  -67 -1098   -32 
 -852   515  -489 
 -548  -779   374 
-1306    56 -1209 
 -509  -413 -1692 
 -635  -615   362 
  319 -1736  -502 
 -753 -1905  -421 
 -497  -242 -1678 
  309   881   591 
-1707  -458   793 
-1793  -569   728 
 -706  -757  -430 
  325  -343   553 
-1871   874 -2097 
-1787  -427  -533 
-1983   666   700 
  651 -1617   447 
-2057  -355 -1668 
-1861   667   756 
 -963   477  -487 
  352  -454  -949 
 -630  -729  -519 
  645 -1471   521 
 -903   601 -1893 
  440  -583  -974 
-2901  -399   571 
-3155   762   653 
 -750   754   404 
 -818   745   486 
-3145   826  -823 
-2397    81  -129 
 -637 -1757  -402 
-3292   683   720 
  349 -1621  -559 
 -489  -484 -1682 
  385  -361   405 
  412  -468  -827 
-2007  -433 -1630 
  672 -1640   563 
-2530    10   -13 
-3212  -248  -704 
  740   774  -615 
 -627  -769   479 
-1758  -295  -663 
 -674 -1585   598 
-1926   686  -867 
  413   943   530 
 -805   510  -451 
  336   928   466 
 -790  -808  -512 
-1293   148   -98 

scanner data:
  645 -1471   521 
 -497  -242 -1678 
-3155   762   653 
 -163 -1204  -165 
-3020  -477   656 
-3033  -435   447 
  405  -470   568 
 -706  -757  -430 
-1787  -427  -533 
 -852   515  -489 
-1864 -1506  -876 
-3303   776   776 
-3292   683   720 
-2530    10   -13 
  -65   111  -185 
-2101 -1737 -1609 
  406 -1797  -526 
 -548  -779   374 
  319 -1736  -502 
 -773   645   541 
-1861   667   756 
  651 -1617   447 
 -818   745   486 
-2397    81  -129 
  412  -468  -827 
-3179   624  -830 
  -67 -1098   -32 
 -509  -413 -1692 
-1871   874 -2097 
  309   881   591 
 -963   477  -487 
  385  -361   405 
 -823 -1630   641 
 -627  -769   479 
 -805   510  -451 
  352  -454  -949 
-2007  -433 -1630 
 -744 -1746  -537 
-3270  -308  -670 
-2014  -377 -1707 
  753   808  -605 
-2057  -355 -1668 
 -630  -729  -519 
 -750   754   404 
-1306    56 -1209 
  413   943   530 
 -990 -1938 -1963 
 -876 -1896 -1873 
-2013   852 -2032 
 -674 -1585   598 
-2103 -1700 -1603 
-3157   678  -834 
-1926   686  -867 
  672 -1640   563 
-1707  -458   793 
-2058   707   714 
-1902  -496   749 
  740   774  -615 
 -987   655 -1938 
 -790  -808  -512 
 -970 -1880 -1871 
-1961 -1692 -1611 
-1793  -569   728 
  349 -1621  -559 
  325  -343   553 
-3185  -364  -589 
-1949   861 -2090 
-1758  -295  -663 
-1983   666   700 
 -874   519 -1951 
-1192   126 -1343 
 -189    61   -45 
 -635  -615   362 
 -903   601 -1893 
-2901  -399   571 
  336   928   466 
-1382 -1174 -1338 
-1756  -284  -455 
 -637 -1757  -402 
  440  -583  -974 
-3212  -248  -704 
-1977   655  -755 
-1293   148   -98 
  726   706  -708 
-3145   826  -823 
 -489  -484 -1682 
-1909 -1463  -826 
 -724 -1719   643 
-1212 -1074 -1209 
-1902 -1427  -880 
 -753 -1905  -421 
-1914   543  -747 

scanner data:
-1212 -1074 -1209 
-3157   678  -834 
 -852   515  -489 
-1961 -1692 -1611 
  672 -1640   563 
 -876 -1896 -1873 
-1861   667   756 
 -674 -1585   598 
  405  -470   568 
  413   943   530 
 -823 -1630   641 
  645 -1471   521 
-3292   683   720 
 -818   745   486 
 -970 -1880 -1871 
  325  -343   553 
 -509  -413 -1692 
 -627  -769   479 
-2901  -399   571 
  385  -361   405 
-1787  -427  -533 
-2007  -433 -1630 
  319 -1736  -502 
